[BrakeControllerBridge @ factory.py:85][DEBUG] 2019-03-01 22:08:46,506: Logging to: logs/2019_Mar_01/BrakeControllerBridge/22_08_46.log
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,336: packet: 'Packet(timestamp=9.234532, global_sequence_num=41, sequence_num=0, data=[0.32, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496136.3363752, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,535: packet: 'Packet(timestamp=9.3359, global_sequence_num=42, sequence_num=0, data=[0.32, 12.02, 3.12, 40.8, 12.03, 0, 0.0], receive_time=1551496136.4374602, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,539: packet: 'Packet(timestamp=9.437284, global_sequence_num=43, sequence_num=0, data=[0.32, 12.02, 3.2, 38.4, 12.02, 0, 0.0], receive_time=1551496136.5388546, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,639: packet: 'Packet(timestamp=9.538648, global_sequence_num=44, sequence_num=0, data=[0.31, 12.02, 3.2, 38.4, 12.02, 0, 0.0], receive_time=1551496136.6396525, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,741: packet: 'Packet(timestamp=9.640036, global_sequence_num=45, sequence_num=0, data=[0.32, 12.03, 3.2, 38.4, 12.02, 0, 0.0], receive_time=1551496136.740851, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,944: packet: 'Packet(timestamp=9.740388, global_sequence_num=46, sequence_num=0, data=[0.32, 12.02, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496136.8420029, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,944: packet: 'Packet(timestamp=9.841756, global_sequence_num=47, sequence_num=0, data=[0.33, 12.03, 3.4, 36.8, 12.02, 0, 0.0], receive_time=1551496136.9434013, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,044: packet: 'Packet(timestamp=9.94314, global_sequence_num=48, sequence_num=0, data=[0.31, 12.03, 3.0, 38.4, 12.03, 0, 0.0], receive_time=1551496137.0443544, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,144: packet: 'Packet(timestamp=10.043492, global_sequence_num=49, sequence_num=0, data=[0.3, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496137.1444046, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,365: packet: 'Packet(timestamp=10.14486, global_sequence_num=50, sequence_num=0, data=[0.33, 12.02, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496137.2457728, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,365: packet: 'Packet(timestamp=10.246244, global_sequence_num=51, sequence_num=0, data=[0.32, 12.03, 3.32, 38.4, 12.02, 0, 0.0], receive_time=1551496137.3469307, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,447: packet: 'Packet(timestamp=10.346596, global_sequence_num=52, sequence_num=0, data=[0.31, 12.03, 3.4, 39.2, 12.03, 0, 0.0], receive_time=1551496137.4471807, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,549: packet: 'Packet(timestamp=10.447964, global_sequence_num=53, sequence_num=0, data=[0.31, 12.02, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496137.5493608, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,750: packet: 'Packet(timestamp=10.548324, global_sequence_num=54, sequence_num=0, data=[0.33, 12.03, 3.32, 38.4, 12.02, 0, 0.0], receive_time=1551496137.6486366, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,751: packet: 'Packet(timestamp=10.649692, global_sequence_num=55, sequence_num=0, data=[0.31, 12.02, 2.92, 38.4, 12.03, 0, 0.0], receive_time=1551496137.7451508, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,837: packet: 'Packet(timestamp=10.751076, global_sequence_num=56, sequence_num=0, data=[0.33, 12.03, 3.32, 36.8, 12.02, 0, 0.0], receive_time=1551496137.8374417, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:57,929: packet: 'Packet(timestamp=10.851428, global_sequence_num=57, sequence_num=0, data=[0.34, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496137.9292579, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,112: packet: 'Packet(timestamp=10.952796, global_sequence_num=58, sequence_num=0, data=[0.32, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496138.0225046, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,115: packet: 'Packet(timestamp=11.05418, global_sequence_num=59, sequence_num=0, data=[0.33, 12.02, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496138.115149, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,207: packet: 'Packet(timestamp=11.154524, global_sequence_num=60, sequence_num=0, data=[0.34, 12.03, 3.12, 38.4, 12.02, 0, 0.0], receive_time=1551496138.2067618, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,300: packet: 'Packet(timestamp=11.255912, global_sequence_num=61, sequence_num=0, data=[0.31, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496138.3004167, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,485: packet: 'Packet(timestamp=11.357284, global_sequence_num=62, sequence_num=0, data=[0.32, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496138.3931615, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,485: packet: 'Packet(timestamp=11.458652, global_sequence_num=63, sequence_num=0, data=[0.33, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496138.4852774, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,579: packet: 'Packet(timestamp=11.560036, global_sequence_num=64, sequence_num=0, data=[0.33, 12.03, 3.32, 40.8, 12.03, 0, 0.0], receive_time=1551496138.5789053, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,671: packet: 'Packet(timestamp=11.660388, global_sequence_num=65, sequence_num=0, data=[0.32, 12.03, 3.4, 39.2, 12.03, 0, 0.0], receive_time=1551496138.670786, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,852: packet: 'Packet(timestamp=11.761756, global_sequence_num=66, sequence_num=0, data=[0.32, 12.03, 3.32, 39.2, 12.03, 0, 0.0], receive_time=1551496138.763567, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,856: packet: 'Packet(timestamp=11.86314, global_sequence_num=67, sequence_num=0, data=[0.35, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496138.856193, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:58,952: packet: 'Packet(timestamp=11.963492, global_sequence_num=68, sequence_num=0, data=[0.34, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496138.952582, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,054: packet: 'Packet(timestamp=12.06486, global_sequence_num=69, sequence_num=0, data=[0.33, 12.03, 3.2, 39.2, 12.03, 0, 0.0], receive_time=1551496139.054179, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,263: packet: 'Packet(timestamp=12.166244, global_sequence_num=70, sequence_num=0, data=[0.34, 12.03, 3.32, 40.8, 12.03, 0, 0.0], receive_time=1551496139.1555364, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,263: packet: 'Packet(timestamp=12.266596, global_sequence_num=71, sequence_num=0, data=[0.33, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496139.2554712, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,357: packet: 'Packet(timestamp=12.367964, global_sequence_num=72, sequence_num=0, data=[0.33, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496139.3568428, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,457: packet: 'Packet(timestamp=12.468328, global_sequence_num=73, sequence_num=0, data=[0.33, 12.03, 3.32, 39.2, 12.03, 0, 0.0], receive_time=1551496139.4575465, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,658: packet: 'Packet(timestamp=12.5697, global_sequence_num=74, sequence_num=0, data=[0.32, 12.03, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496139.5580893, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,659: packet: 'Packet(timestamp=12.671068, global_sequence_num=75, sequence_num=0, data=[0.34, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496139.6593738, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,761: packet: 'Packet(timestamp=12.771428, global_sequence_num=76, sequence_num=0, data=[0.31, 12.03, 3.2, 40.8, 12.03, 0, 0.0], receive_time=1551496139.7609665, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:59,861: packet: 'Packet(timestamp=12.872796, global_sequence_num=77, sequence_num=0, data=[0.32, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496139.8608866, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,064: packet: 'Packet(timestamp=12.97418, global_sequence_num=78, sequence_num=0, data=[0.3, 12.03, 3.2, 39.2, 12.03, 0, 0.0], receive_time=1551496139.962505, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,064: packet: 'Packet(timestamp=13.074532, global_sequence_num=79, sequence_num=0, data=[0.32, 12.02, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496140.0626287, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,165: packet: 'Packet(timestamp=13.175896, global_sequence_num=80, sequence_num=0, data=[0.33, 12.02, 3.0, 36.8, 12.02, 0, 0.0], receive_time=1551496140.164985, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,266: packet: 'Packet(timestamp=13.277284, global_sequence_num=81, sequence_num=0, data=[0.32, 12.03, 3.2, 41.6, 12.02, 0, 0.0], receive_time=1551496140.2660756, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,465: packet: 'Packet(timestamp=13.378648, global_sequence_num=82, sequence_num=0, data=[0.33, 12.03, 3.52, 39.2, 12.03, 0, 0.0], receive_time=1551496140.3665035, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,467: packet: 'Packet(timestamp=13.480036, global_sequence_num=83, sequence_num=0, data=[0.3, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496140.4677215, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,568: packet: 'Packet(timestamp=13.58038, global_sequence_num=84, sequence_num=0, data=[0.3, 12.03, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496140.5686085, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,671: packet: 'Packet(timestamp=13.681764, global_sequence_num=85, sequence_num=0, data=[0.34, 12.03, 3.32, 36.8, 12.03, 0, 0.0], receive_time=1551496140.670645, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,883: packet: 'Packet(timestamp=13.783132, global_sequence_num=86, sequence_num=0, data=[0.32, 12.03, 3.4, 40.8, 12.03, 0, 0.0], receive_time=1551496140.7710388, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:09:00,884: packet: 'Packet(timestamp=13.883492, global_sequence_num=87, sequence_num=0, data=[0.31, 12.02, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496140.8710983, name=brake)'
[BrakeControllerBridge @ node.py:82][DEBUG] 2019-03-01 22:09:00,884: [log buffer start]
[DEBUG, 1551496132.1973066]: Packet(timestamp=5.092436, global_sequence_num=0, sequence_num=0, data=[0.32, 12.03, 3.0, 38.4, 0.0, 0, 0.0], receive_time=1551496132.1973066, name=brake)
[DEBUG, 1551496132.2997904]: Packet(timestamp=5.193828, global_sequence_num=1, sequence_num=0, data=[0.33, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496132.2997904, name=brake)
[DEBUG, 1551496132.4006803]: Packet(timestamp=5.295192, global_sequence_num=2, sequence_num=0, data=[0.28, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496132.4006803, name=brake)
[DEBUG, 1551496132.500341]: Packet(timestamp=5.395556, global_sequence_num=3, sequence_num=0, data=[0.31, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496132.500341, name=brake)
[DEBUG, 1551496132.6016402]: Packet(timestamp=5.496928, global_sequence_num=4, sequence_num=0, data=[0.34, 12.03, 3.2, 39.2, 12.03, 0, 0.0], receive_time=1551496132.6016402, name=brake)
[DEBUG, 1551496132.702856]: Packet(timestamp=5.597284, global_sequence_num=5, sequence_num=0, data=[0.33, 12.03, 3.0, 38.4, 12.03, 0, 0.0], receive_time=1551496132.702856, name=brake)
[DEBUG, 1551496132.8035934]: Packet(timestamp=5.698656, global_sequence_num=6, sequence_num=0, data=[0.31, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496132.8035934, name=brake)
[DEBUG, 1551496132.904748]: Packet(timestamp=5.800036, global_sequence_num=7, sequence_num=0, data=[0.31, 12.02, 2.92, 36.8, 12.03, 0, 0.0], receive_time=1551496132.904748, name=brake)
[DEBUG, 1551496133.0057995]: Packet(timestamp=5.900388, global_sequence_num=8, sequence_num=0, data=[0.32, 12.02, 3.2, 40.8, 12.02, 0, 0.0], receive_time=1551496133.0057995, name=brake)
[DEBUG, 1551496133.1068933]: Packet(timestamp=6.001752, global_sequence_num=9, sequence_num=0, data=[0.34, 12.03, 3.2, 38.4, 12.02, 0, 0.0], receive_time=1551496133.1068933, name=brake)
