[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-11-06 23:45:11,589: Logging to: logs/2018_Nov_06/BrakeControllerBridge/23_45_11.log
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,783: packet: 'Packet(global_sequence_num=34, data=[0.33, 12.03, 3.32, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565920.684099, timestamp=8.49418, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,784: packet: 'Packet(global_sequence_num=35, data=[0.33, 12.02, 3.12, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565920.784162, timestamp=8.594532, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,886: packet: 'Packet(global_sequence_num=36, data=[0.33, 12.03, 3.32, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565920.885551, timestamp=8.6959, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:20,987: packet: 'Packet(global_sequence_num=37, data=[0.33, 12.03, 3.2, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565920.9866257, timestamp=8.797284, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,229: packet: 'Packet(global_sequence_num=38, data=[0.32, 12.02, 3.32, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565921.087504, timestamp=8.898656, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,230: packet: 'Packet(global_sequence_num=39, data=[0.35, 12.03, 3.2, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565921.1886241, timestamp=9.000036, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,290: packet: 'Packet(global_sequence_num=40, data=[0.32, 12.03, 3.2, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565921.2899377, timestamp=9.10038, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,391: packet: 'Packet(global_sequence_num=41, data=[0.34, 12.03, 3.12, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565921.3904064, timestamp=9.201764, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,638: packet: 'Packet(global_sequence_num=42, data=[0.31, 12.03, 3.4, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565921.4919026, timestamp=9.303132, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,638: packet: 'Packet(global_sequence_num=43, data=[0.32, 12.03, 3.52, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565921.5923572, timestamp=9.403496, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,693: packet: 'Packet(global_sequence_num=44, data=[0.58, 12.01, 5.92, 76.0, 12.03, 0, 0.0], name=brake, receive_time=1541565921.693209, timestamp=9.504868, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:21,795: packet: 'Packet(global_sequence_num=45, data=[0.39, 12.02, 4.12, 51.2, 12.01, 0, 0.0], name=brake, receive_time=1541565921.7947576, timestamp=9.606236, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,027: packet: 'Packet(global_sequence_num=46, data=[0.38, 12.02, 3.52, 45.6, 12.02, 0, 0.0], name=brake, receive_time=1541565921.8944924, timestamp=9.706596, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,027: packet: 'Packet(global_sequence_num=47, data=[0.38, 12.02, 3.72, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565921.996327, timestamp=9.807964, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,097: packet: 'Packet(global_sequence_num=48, data=[0.38, 12.02, 3.72, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565922.09686, timestamp=9.908324, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,198: packet: 'Packet(global_sequence_num=49, data=[0.36, 12.02, 3.72, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565922.1980104, timestamp=10.009692, sequence_num=0)'
